original_column,canonical_column
AIIMS,AIIMS
AIIMS Jhajjar,AIIMS Jhajjar
AIPL Business Centre,AIPL Business Centre
AIPL Business Club,AIPL Business Club
AIPL Business Club Sector 62,AIPL Business Club Sector 62
AIPL Business Co Working Space,AIPL Business Co Working Space
AIPL Business Tower,AIPL Business Tower
AIPL Joy Street Mall,AIPL Joy Street Mall
APJ Abdul Kalam Park,APJ Abdul Kalam Park
ASF Insignia SEZ,ASF Insignia SEZ
Aapno Ghar,Aapno Ghar
AapnoGhar,Aapno Ghar
Aarvy Healthcare,Aarvy Healthcare
Aarvy Healthcare Hospital,Aarvy Healthcare Hospital
Aarvy Healthcare Super Speciality,Aarvy Healthcare Super Speciality
Aarvy Hospital,Aarvy Hospital
Arvy Hospital,Aarvy Hospital
Aatish Hospital,Aatish Hospital
Accenture DDC5,Accenture DDC5
Adarsh Senior Secondary School,Adarsh Senior Secondary School
"Adarsh public school,Garhi Harsaru","Adarsh public school,Garhi Harsaru"
Agri Business Management Collage,Agri Business Management Collage
Airia Mall,Airia Mall
Airia Mall Sector 68,Airia Mall Sector 68
Airport,Airport
Ajit Stadium Dhanwapur,Ajit Stadium Dhanwapur
Alfaa Health Care Hospital,Alfaa Health Care Hospital
Alpine Convent School,Alpine Convent School
Alpine Hospital,Alpine Hospital
Alpine School,Alpine School
Altrade Business Centre,Altrade Business Centre
Aman Hospital & Surgical Centre,Aman Hospital & Surgical Centre
Ambience Mall,Ambience Mall
Ambience Mall New,Ambience Mall New
Ambience Public School,Ambience Public School
American Express,American Express
Amity,Amity
Amity University,Amity University
Amity University Gurugram,Amity University Gurugram
Amma Hospital,Amma Hospital
Aman Hospital,Amma Hospital
Anand Multispeciality Hospital,Anand Multispeciality Hospital
Anand Preschool,Anand Preschool
Ananta Hospital,Ananta Hospital
Ansal Plaza,Ansal Plaza
Anya Gurgaon,Anya Gurgaon
Ap Sports cricket ground,Ap Sports cricket ground
Apex Plus Hospital,Apex Plus Hospital
Apollo,Apollo
