sector,zone,latitude,longitude
sector 36,sohna_rd_inner,28.42897,77.0341
sector 89,new_gurgaon,28.37591,77.0159
sohna road,sohna_rd_inner,28.42243,77.032
sector 92,new_gurgaon,28.3744,77.00831
sector 102,dwarka_expy,28.50906,76.97322
gwal pahari,gwal_pahari,28.42992,77.13512
sector 108,dwarka_expy,28.50039,76.9673
sector 105,dwarka_expy,28.50976,76.97042
sector 26,golf_course_rd,28.45336,77.06465
sector 109,dwarka_expy,28.49955,76.97415
sector 28,golf_course_rd,28.44432,77.06916
sector 65,golf_ext_rd,28.41714,77.08142
sector 12,old_central,28.46634,77.02867
sector 85,new_gurgaon,28.37504,77.01419
sector 70a,spr,28.39108,77.0554
sector 30,golf_course_rd,28.44807,77.06277
sector 107,dwarka_expy,28.50338,76.96672
sector 3,old_central,28.4681,77.02789
sector 2,old_central,28.46038,77.02686
sector 41,sohna_rd_inner,28.42686,77.03526
sector 4,old_central,28.4683,77.03517
sector 62,golf_ext_rd,28.42078,77.08648
sector 49,sohna_rd_premium,28.40249,77.05118
sector 81,new_gurgaon,28.38388,77.00402
sector 66,golf_ext_rd,28.41732,77.08172
sector 86,new_gurgaon,28.37944,77.00626
sector 48,sohna_rd_premium,28.40056,77.05116
sector 51,golf_ext_rd,28.42346,77.08962
sector 37,sohna_rd_inner,28.41935,77.03266
sector 111,dwarka_expy,28.50609,76.97038
sector 67,golf_ext_rd,28.4148,77.07979
sector 113,dwarka_expy,28.50517,76.97493
sector 13,old_central,28.46064,77.03031
sector 61,golf_ext_rd,28.42084,77.08331
sector 69,spr,28.39262,77.05786
sector 67a,golf_ext_rd,28.41687,77.0809
sector 37d,sohna_rd_inner,28.42712,77.0353
sector 82,new_gurgaon,28.37706,77.00502
sector 53,golf_course_rd,28.45281,77.06543
sector 74,golf_ext_rd,28.42144,77.07907
sector 52,golf_ext_rd,28.4239,77.08591
sector 43,golf_course_rd,28.44682,77.06049
sector 14,old_central,28.46324,77.03523
sector 25,west,28.48222,76.99216
sector 95,new_gurgaon,28.38398,77.00424
sector 56,golf_course_rd,28.44388,77.06837
sector 83,new_gurgaon,28.38187,77.00754
sector 104,dwarka_expy,28.50303,76.96586
sector 88a,new_gurgaon,28.38017,77.00485
sector 55,golf_course_rd,28.4518,77.06116
sector 50,golf_ext_rd,28.42484,77.08157
sector 84,new_gurgaon,28.38436,77.01034
sector 91,new_gurgaon,28.37512,77.01108
sector 76,spr,28.39236,77.05988
sector 82a,new_gurgaon,28.37893,77.00912
sector 78,spr,28.40099,77.05794
manesar,manesar,28.35037,76.94065
sector 93,new_gurgaon,28.3753,77.01552
sector 7,old_central,28.45942,77.03413
sector 71,spr,28.39442,77.05656
sector 110,dwarka_expy,28.50408,76.9721
sector 33,sohna_rd_premium,28.40963,77.04489
sector 70,spr,28.39711,77.06133
sector 103,dwarka_expy,28.51022,76.96735
sector 90,new_gurgaon,28.37686,77.0078
sector 38,sohna_rd_inner,28.42536,77.03579
sector 79,spr,28.39938,77.06592
sector 112,dwarka_expy,28.50752,76.97427
sector 22,west,28.47711,76.9939
sector 59,sohna_rd_premium,28.39943,77.04866
sector 99,dwarka_expy,28.51076,76.97346
sector 9,old_central,28.46656,77.0252
sector 58,sohna_rd_premium,28.41005,77.04965
sector 77,spr,28.39369,77.05536
sector 1,old_central,28.47034,77.03527
sector 57,sohna_rd_premium,28.40067,77.04576
sector 106,dwarka_expy,28.50312,76.97114
dwarka expressway,dwarka_expy,28.50687,76.97022
sector 63,golf_ext_rd,28.41414,77.08063
sector 5,old_central,28.46268,77.02878
sector 40,sohna_rd_inner,28.42536,77.0351
sector 23,west,28.48515,76.99906
sector 6,old_central,28.46342,77.02938
sector 72,spr,28.39546,77.06167
sector 47,sohna_rd_premium,28.40619,77.05182
sector 45,golf_ext_rd,28.41947,77.09092
sector 68,sohna_rd_premium,28.40789,77.04404
sector 11,old_central,28.46554,77.02821
sector 60,golf_ext_rd,28.42533,77.08429
sector 39,sohna_rd_inner,28.42921,77.03298
sector 63a,golf_ext_rd,28.41906,77.08579
sector 24,west,28.48566,76.9946
sector 46,golf_ext_rd,28.42332,77.07922
sector 17,west,28.48566,76.99586
sector 15,old_central,28.4656,77.02693
sector 10,old_central,28.47072,77.03558
sector 31,west,28.4817,77.00075
sector 21,west,28.47935,76.99406
sector 80,spr,28.39202,77.05819
sector 73,spr,28.39432,77.06124
sector 54,golf_course_rd,28.44477,77.06546
sector 8,old_central,28.46148,77.02549
sector 88,new_gurgaon,28.38256,77.01025
sector 27,misc,28.43617,77.05067
